time (ms), statusbyte, databyte1, datbaty2
 136825, 144, 54, 0
 136875, 144, 63, 0
 136875, 144, 58, 0
 136875, 144, 61, 0
 138500, 144, 65, 34
 138500, 144, 64, 34
 138500, 144, 60, 34
 138500, 144, 59, 34
 138875, 144, 59, 0
 138875, 144, 65, 0
 138875, 144, 60, 0
 138875, 144, 64, 0
 141750, 144, 72, 100
 141750, 144, 80, 100
 142125, 144, 80, 0
 142125, 144, 72, 0
 142750, 144, 57, 0
 144575, 144, 60, 34
 144750, 144, 50, 34
 144750, 144, 43, 34
 144750, 144, 52, 34
 144750, 144, 54, 34
 144950, 144, 60, 0
 145500, 144, 50, 0
 145500, 144, 43, 0
 145500, 144, 52, 0
 145500, 144, 54, 0
 145525, 144, 65, 100
 145525, 144, 71, 100
 147625, 144, 59, 34
 151275, 144, 71, 0
 151275, 144, 65, 0
 156500, 144, 79, 100
 159000, 144, 55, 34
 159000, 144, 50, 34
 159000, 144, 54, 34
 159000, 144, 60, 34
 159375, 144, 54, 0
 159375, 144, 55, 0
 159375, 144, 50, 0
 161175, 144, 57, 34
 161175, 144, 53, 34
 161175, 144, 52, 34
 161550, 144, 52, 0
 161550, 144, 57, 0
 161550, 144, 53, 0
 165025, 144, 79, 0
 169475, 144, 59, 0
 169500, 144, 60, 0
 170600, 144, 52, 34
 170625, 144, 40, 34
 170975, 144, 52, 0
 171000, 144, 47, 34
 171000, 144, 45, 34
 171000, 144, 53, 34
 171000, 144, 40, 0
 171000, 144, 54, 34
 171375, 144, 45, 0
 171375, 144, 54, 0
 171375, 144, 47, 0
 171375, 144, 53, 0
 175500, 144, 76, 100
 175500, 144, 79, 100
 175500, 144, 81, 100
 175500, 144, 75, 100
 175875, 144, 76, 0
 175875, 144, 75, 0
 175875, 144, 81, 0
 175875, 144, 79, 0
 177250, 144, 60, 34
 177825, 144, 59, 34
 178200, 144, 59, 0
 179950, 144, 74, 0
 180000, 144, 60, 0
 180000, 255, 0, 0
 180450, 144, 57, 100
 180450, 144, 43, 100
 181200, 144, 43, 0
 181200, 144, 57, 0
 190500, 144, 49, 100
 190500, 144, 59, 100
 191250, 144, 59, 0
 191250, 144, 49, 0
 191500, 144, 52, 100
 191500, 144, 50, 100
 191500, 144, 61, 100
 191500, 144, 56, 100
 191500, 144, 58, 100
 194500, 144, 52, 0
 194500, 144, 61, 0
 194500, 144, 50, 0
 197000, 144, 53, 100
 197000, 144, 61, 100
 197375, 144, 61, 0
 197375, 144, 53, 0
 198000, 144, 65, 100
 198000, 144, 60, 100
 198025, 144, 58, 0
 199500, 144, 60, 0
 200500, 144, 56, 0
 208500, 144, 61, 100
 212000, 144, 61, 0
 213000, 144, 60, 100
 213050, 144, 65, 0
 214500, 144, 50, 100
 214500, 144, 58, 100
 214500, 144, 61, 100
 216000, 144, 61, 0
 216000, 144, 58, 0
 216000, 144, 50, 0
 216750, 144, 51, 100
 216750, 144, 65, 100
 216750, 144, 52, 100
 216750, 144, 61, 100
 216750, 144, 58, 100
 216750, 144, 53, 100
 217500, 144, 58, 0
 217500, 144, 53, 0
 217500, 144, 65, 0
 217500, 144, 52, 0
 217500, 144, 51, 0
 217500, 144, 61, 0
 221250, 144, 49, 100
 221250, 144, 61, 100
 222000, 144, 49, 0
 223750, 144, 66, 100
 224500, 144, 66, 0
 225750, 144, 53, 100
 226500, 144, 53, 0
 232675, 144, 52, 100
 232675, 144, 64, 100
 233250, 144, 63, 100
 233250, 144, 55, 100
 233425, 144, 64, 0
 233425, 144, 52, 0
 234000, 144, 59, 100
 234000, 144, 56, 100
 234000, 144, 55, 0
 234000, 144, 63, 0
 234750, 144, 59, 0
 234750, 144, 56, 0
 234825, 144, 56, 100
 234825, 144, 58, 100
 234825, 144, 62, 100
 235575, 144, 58, 0
 235575, 144, 62, 0
 235575, 144, 56, 0
 236450, 144, 59, 100
 237200, 144, 59, 0
 241125, 144, 63, 100
 241875, 144, 63, 0
 247500, 144, 61, 0
 250500, 144, 58, 100
 251250, 144, 58, 0
 251625, 144, 67, 100
 251625, 144, 63, 100
 251625, 144, 58, 100
 251625, 144, 57, 100
 251625, 144, 55, 100
 252375, 144, 58, 0
 252375, 144, 67, 0
 252375, 144, 55, 0
 252375, 144, 63, 0
 252375, 144, 57, 0
 255375, 144, 54, 100
 255375, 144, 53, 100
 255375, 144, 66, 100
 255375, 144, 59, 100
 255750, 144, 66, 100
 255750, 144, 69, 100
 255750, 144, 57, 100
 255750, 144, 58, 100
 255750, 144, 59, 0
 255750, 144, 53, 0
 255750, 144, 66, 0
 255750, 144, 54, 0
 256125, 144, 58, 0
 256125, 144, 69, 0
 256125, 144, 57, 0
 256125, 144, 66, 0
 257250, 144, 60, 0
 259500, 144, 51, 100
 259500, 144, 49, 100
 259500, 144, 63, 100
 259500, 144, 61, 100
 259500, 144, 55, 100
 265500, 144, 55, 0
 265500, 144, 51, 0
 265500, 144, 61, 0
 265500, 144, 49, 0
 265500, 144, 63, 0
 270000, 255, 0, 0
 270000, 144, 48, 100
 270000, 144, 61, 100
 270375, 144, 48, 0
 270825, 144, 63, 29
 270825, 144, 59, 34
 271125, 144, 64, 100
 271125, 144, 64, 49
 271125, 144, 62, 29
 271200, 144, 59, 0
 271200, 144, 63, 0
 271500, 144, 62, 0
 271500, 144, 64, 0
 272050, 144, 65, 49
 272425, 144, 65, 0
 272475, 144, 69, 29
 272475, 144, 59, 34
 272850, 144, 59, 0
 272850, 144, 69, 0
 273375, 144, 59, 34
 273375, 144, 64, 0
 273750, 144, 59, 0
 274125, 144, 55, 100
 274125, 144, 57, 100
 274125, 144, 63, 100
 274125, 144, 60, 100
 274500, 144, 63, 0
 274500, 144, 57, 0
 274500, 144, 55, 0
 274500, 144, 60, 0
 275250, 144, 60, 49
 275625, 144, 50, 34
 275625, 144, 62, 29
 275625, 144, 60, 0
 275625, 144, 54, 34
 275625, 144, 52, 34
 276000, 144, 54, 0
 276000, 144, 50, 0
 276000, 144, 62, 0
 276000, 144, 52, 0
 277500, 144, 63, 49
 277875, 144, 63, 0
 279375, 144, 62, 49
 279750, 144, 68, 29
 279750, 144, 62, 0
 279750, 144, 59, 34
 280125, 144, 59, 0
 280125, 144, 68, 0
 280675, 144, 60, 29
 280675, 144, 53, 34
